config,window,pf,trades,dd,ok
ATR-min=0.05%,2022,2.59,9,19.23,True
ATR-min=0.05%,2023,1.11,2,10.19,False
ATR-min=0.05%,2024,1.3,4,17.05,True
ATR-min=0.05%,2025,5.4,7,10.11,True
ATR-min=0.05%,Full,2.6,22,19.23,True
ATR-min=0.15%,2022,322.98,4,0.08,True
ATR-min=0.15%,2023,0.0,1,0.0,False
ATR-min=0.15%,2024,1.0,2,0.03,False
ATR-min=0.15%,2025,4.47,5,10.02,True
ATR-min=0.15%,Full,8.67,12,10.11,True
