config,window,pf,trades,dd,ok
OptionB-D1Candle,2022,3.6,6,10.1,True
OptionB-D1Candle,2023,1.11,2,10.19,False
OptionB-D1Candle,2024,2.23,2,10.19,False
OptionB-D1Candle,2025,1.0,5,0.03,True
OptionB-D1Candle,Full,4.53,15,10.22,True
OptionC-NoBias,2022,2.59,9,19.23,True
OptionC-NoBias,2023,1.11,2,10.19,False
OptionC-NoBias,2024,1.3,4,17.05,True
OptionC-NoBias,2025,5.4,7,10.11,True
OptionC-NoBias,Full,2.6,22,19.23,True
