export_time,event_type,symbol,timeframe,ob_name,ob_start_time,is_bear,htf_trend,stars,reason,high_price,low_price,ob_body,ob_wick,is_mss,is_bos,has_choch,mss_level,is_imbalanced,imbalanced_dist,imbalance_price,fvg_filled,lssc_valid,has_sweep_before,fib50,fib80,fib100,fib127,fib1618,top_imp_valid,top_imp_level,is_lower_mss,all_checks,final_check,entry_price,stop_loss,take_profit,lot_size,c1_open,c1_high,c1_low,c1_close,c2_open,c2_high,c2_low,c2_close,atr,spread,bid,ask,outcome,r_multiple,label,outcome_str,n_filtered_ticks,r_multiple_final,prob_win
2025-11-06 15:33:29,DETECTED,XAUUSD,PERIOD_M15,ICT_OB2025.11.06 14:45:00,2025-11-06 14:45:00,False,BULLISH,0,19,4010.33,4002.83,4010.26,4010.33,False,False,False,0.0,False,0.0,-1.0,False,False,False,0.0,0.0,0.0,0.0,0.0,False,-1.0,False,False,2,-1.0,-1.0,-1.0,-1.0,4009.18,4010.33,4002.83,4005.29,4005.4,4013.19,4003.76,4011.86,4.99333,0,4011.98,4012.07,,0.0,,MISS,0,0.0,0.4529215703413459
2025-01-29 03:30:59,DETECTED,XAUUSD,PERIOD_M15,ICT_OB2025.01.29 02:45:00,2025-01-29 02:45:00,False,BULLISH,0,19,2764.75,2763.72,2764.76,2764.75,False,False,False,2756.35,False,6.147981429109372e+197,-1.0,False,True,False,3.815160364263296e+255,7.407744685719464e+221,6.149440674976676e+197,0.0,2.4650755922963024e+24,False,-1.0,False,False,3,-1.0,-1.0,-1.0,-1.0,2764.37,2764.75,2763.72,2763.94,2763.92,2766.1,2763.84,2765.28,1.27556,0,2765.49,2765.57,,0.0,,MISS,0,0.0,0.4528771495835498
2025-06-19 20:25:29,DETECTED,XAUUSD,PERIOD_M15,ICT_OB2025.06.19 19:30:00,2025-06-19 19:30:00,False,BULLISH,0,19,3370.58,3366.9,3371.06,3370.58,False,False,False,0.0,False,0.0,-1.0,False,True,False,0.0,0.0,0.0,0.0,0.0,False,-1.0,False,False,3,-1.0,-1.0,-1.0,-1.0,3369.91,3370.58,3366.9,3369.66,3369.66,3371.7,3369.36,3371.14,4.61833,0,3373.55,3373.61,,0.0,,MISS,0,0.0,0.4527719250456502
2025-10-24 15:06:29,DETECTED,XAUUSD,PERIOD_M15,ICT_OB2025.10.24 14:15:00,2025-10-24 14:15:00,False,BEARISH,0,19,4061.25,4054.85,4057.92,4061.25,False,False,False,4367.4,False,0.0,-1.0,False,True,False,0.0,0.0,0.0,0.0,0.0,False,-1.0,False,False,3,-1.0,-1.0,-1.0,-1.0,4059.04,4061.25,4054.85,4056.68,4056.48,4060.38,4054.79,4058.57,11.11,0,4061.34,4061.42,,0.0,,MISS,0,0.0,0.45275987030286824
2025-05-30 11:17:29,DETECTED,XAUUSD,PERIOD_M15,ICT_OB2025.05.30 10:30:00,2025-05-30 10:30:00,False,BEARISH,0,19,3297.08,3292.66,3291.64,3297.08,False,False,False,3318.89,False,0.0,-1.0,False,True,False,0.0,0.0,0.0,0.0,0.0,False,-1.0,False,False,3,-1.0,-1.0,-1.0,-1.0,3295.99,3297.08,3292.66,3293.96,3294.07,3297.35,3293.85,3295.04,6.07944,0,3296.12,3296.18,,0.0,,MISS,0,0.0,0.4526840865130485
2025-05-07 14:33:29,DETECTED,XAUUSD,PERIOD_M15,ICT_OB2025.05.07 13:45:00,2025-05-07 13:45:00,True,BEARISH,0,19,3393.49,3388.52,3388.52,3389.74,False,False,False,3388.66,False,0.0,-1.0,False,True,False,0.0,0.0,0.0,0.0,0.0,False,-1.0,False,False,3,-1.0,-1.0,-1.0,-1.0,3390.08,3393.49,3388.52,3391.46,3391.49,3391.58,3385.76,3387.55,6.72389,0,3385.69,3385.73,,0.0,,MISS,0,0.0,0.4526638157434553
2025-12-05 22:35:59,DETECTED,XAUUSD,PERIOD_M15,ICT_OB2025.12.05 21:45:00,2025-12-05 21:45:00,True,BULLISH,0,19,4208.86,4202.4,4202.4,4206.87,False,False,False,4070.41,False,0.0,-1.0,False,True,False,0.0,0.0,0.0,0.0,0.0,False,-1.0,False,False,3,-1.0,-1.0,-1.0,-1.0,4205.89,4208.86,4202.4,4207.66,4207.76,4207.82,4202.91,4204.8,7.36556,0,4203.24,4203.28,,0.0,,MISS,0,0.0,0.4526139107787135
2025-08-18 20:39:28,DETECTED,XAUUSD,PERIOD_M15,ICT_OB2025.08.18 19:45:00,2025-08-18 19:45:00,True,BEARISH,0,19,3334.51,3332.41,3332.41,3334.21,False,False,False,0.0,False,0.0,-1.0,False,False,False,0.0,0.0,0.0,0.0,0.0,False,-1.0,False,False,2,-1.0,-1.0,-1.0,-1.0,3332.6,3334.51,3332.41,3334.26,3334.27,3334.42,3331.74,3333.92,3.15611,0,3333.43,3333.47,,0.0,,MISS,0,0.0,0.4526071530523406
2025-12-16 22:51:29,DETECTED,XAUUSD,PERIOD_M15,ICT_OB2025.12.16 22:00:00,2025-12-16 22:00:00,True,BEARISH,0,19,4314.52,4310.3,4310.3,4311.8,False,False,False,4070.41,False,0.0,-1.0,False,True,False,0.0,0.0,0.0,0.0,0.0,False,-1.0,False,False,3,-1.0,-1.0,-1.0,-1.0,4310.66,4314.52,4310.3,4312.17,4312.16,4312.16,4308.13,4310.9,7.37278,0,4307.14,4307.23,,0.0,,MISS,0,0.0,0.452583628266097
2026-01-16 11:19:29,DETECTED,XAUUSD,PERIOD_M15,ICT_OB2026.01.16 10:30:00,2026-01-16 10:30:00,False,BEARISH,0,19,4609.04,4602.13,4602.29,4609.04,False,False,False,4613.58,False,0.0,-1.0,False,False,False,0.0,0.0,0.0,0.0,0.0,False,-1.0,False,False,2,-1.0,-1.0,-1.0,-1.0,4607.37,4609.04,4602.13,4602.22,4602.22,4607.47,4601.18,4603.26,7.60389,0,4603.28,4603.4,,0.0,,MISS,0,0.0,0.4525818866399268
2025-12-18 07:19:29,DETECTED,XAUUSD,PERIOD_M15,ICT_OB2025.12.18 06:30:00,2025-12-18 06:30:00,False,BULLISH,0,19,4331.68,4328.69,4331.1,4331.68,False,False,False,4070.41,False,0.0,-1.0,False,True,False,0.0,0.0,0.0,0.0,0.0,False,-1.0,False,False,3,-1.0,-1.0,-1.0,-1.0,4330.35,4331.68,4328.69,4329.59,4329.59,4332.6,4329.32,4331.92,4.61444,0,4336.54,4336.61,,0.0,,MISS,0,0.0,0.45254107317758646
2025-09-24 01:30:57,DETECTED,XAUUSD,PERIOD_M15,ICT_OB2025.09.23 23:45:00,2025-09-23 23:45:00,True,BEARISH,0,19,3764.9,3762.54,3762.54,3764.62,False,False,False,3561.24,False,0.0,-1.0,False,True,False,0.0,0.0,0.0,0.0,0.0,False,-1.0,False,False,3,-1.0,-1.0,-1.0,-1.0,3763.96,3764.9,3762.54,3764.17,3765.57,3767.51,3764.02,3764.02,5.57,0,3763.1,3763.26,,0.0,,MISS,0,0.0,0.4525021352764721
2025-11-24 14:18:59,DETECTED,XAUUSD,PERIOD_M15,ICT_OB2025.11.24 13:30:00,2025-11-24 13:30:00,True,BULLISH,0,19,4071.1,4067.1,4067.1,4074.22,False,False,False,4070.41,False,0.0,-1.0,False,False,False,0.0,0.0,0.0,0.0,0.0,False,-1.0,False,False,2,-1.0,-1.0,-1.0,-1.0,4070.35,4071.1,4067.1,4070.43,4070.42,4071.69,4068.91,4070.06,5.77167,0,4069.3,4069.37,,0.0,,MISS,0,0.0,0.45246544921818893
2025-02-05 07:18:59,DETECTED,XAUUSD,PERIOD_M15,ICT_OB2025.02.05 06:30:00,2025-02-05 06:30:00,True,BULLISH,0,19,2858.04,2855.35,2855.35,2855.79,False,False,False,2851.82,False,6.147981429109372e+197,-1.0,False,True,True,3.815160364263296e+255,7.407744685719464e+221,6.149440674976676e+197,0.0,2.4650755922963024e+24,False,-1.0,False,False,2,-1.0,-1.0,-1.0,-1.0,2856.58,2858.04,2855.35,2857.32,2857.35,2857.85,2855.0,2855.33,3.47944,0,2854.02,2854.19,,0.0,,MISS,0,0.0,0.4523691376632243
2025-05-30 13:48:59,DETECTED,XAUUSD,PERIOD_M15,ICT_OB2025.05.30 13:00:00,2025-05-30 13:00:00,True,BEARISH,0,19,3300.44,3295.12,3295.12,3296.75,False,False,False,3318.89,False,0.0,-1.0,False,True,False,0.0,0.0,0.0,0.0,0.0,False,-1.0,False,False,3,-1.0,-1.0,-1.0,-1.0,3295.64,3300.44,3295.12,3299.81,3299.81,3300.65,3295.75,3296.51,5.22611,0,3294.32,3294.39,,0.0,,MISS,0,0.0,0.4523329147302551
2025-02-24 19:51:59,DETECTED,XAUUSD,PERIOD_M15,ICT_OB2025.02.24 19:00:00,2025-02-24 19:00:00,True,RANGE,0,19,2944.5,2941.03,2941.03,2944.88,False,False,False,2920.82,False,0.0,-1.0,False,False,False,0.0,0.0,0.0,0.0,0.0,False,-1.0,False,False,2,-1.0,-1.0,-1.0,-1.0,2943.44,2944.5,2941.03,2944.05,2944.03,2944.59,2942.54,2943.51,4.82,0,2943.58,2943.66,,0.0,,MISS,0,0.0,0.452291369887106
2025-02-28 02:16:26,DETECTED,XAUUSD,PERIOD_M15,ICT_OB2025.02.28 01:30:00,2025-02-28 01:30:00,True,BEARISH,0,19,2876.5,2874.8,2874.8,2875.98,False,False,False,2913.55,False,0.0,-1.0,False,False,False,0.0,0.0,0.0,0.0,0.0,False,-1.0,False,False,2,-1.0,-1.0,-1.0,-1.0,2875.42,2876.5,2874.8,2876.03,2876.03,2876.92,2875.43,2875.83,2.88,0,2876.19,2876.33,,0.0,,MISS,0,0.0,0.45223169542132347
2025-01-06 15:49:59,DETECTED,XAUUSD,PERIOD_M15,ICT_OB2025.01.06 15:00:00,2025-01-06 15:00:00,True,BEARISH,0,19,2648.86,2643.43,2643.43,2642.58,False,False,False,0.0,False,2.2042165505552215e+262,-1.0,False,True,False,0.0,0.0,0.0,1.2887332958859772e+210,3.1360422935564416e+40,False,-1.0,False,False,3,-1.0,-1.0,-1.0,-1.0,2645.32,2648.86,2643.43,2645.89,2645.9,2646.29,2641.88,2642.37,4.81611,0,2625.16,2625.36,,0.0,,MISS,0,0.0,0.4522272169262906
2025-02-06 17:09:59,DETECTED,XAUUSD,PERIOD_M15,ICT_OB2025.02.06 16:15:00,2025-02-06 16:15:00,True,RANGE,0,19,2859.79,2854.68,2854.68,2856.7,False,False,False,2858.27,False,6.147981429109372e+197,-1.0,False,True,False,3.815160364263296e+255,7.407744685719464e+221,6.149440674976676e+197,0.0,2.4650755922963024e+24,False,-1.0,False,False,3,-1.0,-1.0,-1.0,-1.0,2854.89,2859.79,2854.68,2857.49,2857.52,2858.22,2854.17,2854.62,4.88556,0,2838.09,2838.26,,0.0,,MISS,0,0.0,0.4521022553531953
2025-01-08 05:03:59,DETECTED,XAUUSD,PERIOD_M15,ICT_OB2025.01.08 04:15:00,2025-01-08 04:15:00,False,BULLISH,0,19,2648.56,2647.25,2648.41,2648.56,False,False,False,2649.88,False,2.2042165505552215e+262,-1.0,False,True,True,0.0,0.0,0.0,1.2887332958859772e+210,3.1360422935564416e+40,False,-1.0,False,False,2,-1.0,-1.0,-1.0,-1.0,2648.27,2648.56,2647.25,2647.38,2647.35,2648.64,2646.01,2648.52,1.63,0,2648.55,2648.64,,0.0,,MISS,0,0.0,0.4520247679434398
2025-06-25 15:39:59,DETECTED,XAUUSD,PERIOD_M15,ICT_OB2025.06.25 14:45:00,2025-06-25 14:45:00,False,BULLISH,0,19,3325.49,3322.19,3325.34,3325.49,False,False,False,3350.79,False,0.0,-1.0,False,False,False,0.0,0.0,0.0,0.0,0.0,False,-1.0,False,False,2,-1.0,-1.0,-1.0,-1.0,3325.12,3325.49,3322.19,3322.69,3322.71,3326.64,3321.68,3325.97,3.78278,0,3323.43,3323.51,,0.0,,MISS,0,0.0,0.4520073059570595
2026-01-02 19:08:29,DETECTED,XAUUSD,PERIOD_M15,ICT_OB2026.01.02 18:15:00,2026-01-02 18:15:00,False,BULLISH,0,19,4324.92,4314.89,4321.62,4324.92,False,False,False,0.0,False,0.0,-1.0,False,False,False,0.0,0.0,0.0,0.0,0.0,False,-1.0,False,False,2,-1.0,-1.0,-1.0,-1.0,4322.54,4324.92,4314.89,4321.75,4321.44,4328.25,4315.27,4325.91,13.39167,0,4328.79,4328.88,,0.0,,MISS,0,0.0,0.45197846302269945
2025-08-01 20:10:59,DETECTED,XAUUSD,PERIOD_M15,ICT_OB2025.08.01 19:15:00,2025-08-01 19:15:00,False,BULLISH,0,19,3346.2,3340.77,3341.1,3346.2,False,False,False,3374.64,False,0.0,-1.0,False,True,False,0.0,0.0,0.0,0.0,0.0,False,-1.0,False,False,3,-1.0,-1.0,-1.0,-1.0,3345.53,3346.2,3340.77,3341.17,3341.18,3343.69,3340.59,3342.61,6.84,0,3347.88,3347.92,,0.0,,MISS,0,0.0,0.45197266355104876
2025-02-13 18:40:29,DETECTED,XAUUSD,PERIOD_M15,ICT_OB2025.02.13 17:45:00,2025-02-13 17:45:00,True,BULLISH,0,19,2921.0,2916.79,2916.79,2919.9,False,False,False,2920.82,False,0.0,-1.0,False,True,False,0.0,0.0,0.0,0.0,0.0,False,-1.0,False,False,3,-1.0,-1.0,-1.0,-1.0,2917.08,2921.0,2916.79,2920.3,2920.29,2920.85,2918.8,2919.93,4.71667,0,2915.98,2916.04,,0.0,,MISS,0,0.0,0.4519424310059694
2025-10-08 15:07:59,DETECTED,XAUUSD,PERIOD_M15,ICT_OB2025.10.08 14:15:00,2025-10-08 14:15:00,False,BULLISH,0,19,4037.08,4033.32,4033.71,4037.08,False,False,False,3742.94,False,0.0,-1.0,False,True,False,0.0,0.0,0.0,0.0,0.0,False,-1.0,False,False,3,-1.0,-1.0,-1.0,-1.0,4036.42,4037.08,4033.32,4034.72,4034.74,4038.02,4032.15,4035.06,5.87278,0,4044.0,4044.17,,0.0,,MISS,0,0.0,0.4517883017923967
2025-05-22 01:30:27,DETECTED,XAUUSD,PERIOD_M15,ICT_OB2025.05.21 23:45:00,2025-05-21 23:45:00,False,BEARISH,0,19,3317.01,3313.63,3315.61,3317.01,False,False,False,0.0,False,0.0,-1.0,False,True,False,0.0,0.0,0.0,0.0,0.0,False,-1.0,False,False,3,-1.0,-1.0,-1.0,-1.0,3315.7,3317.01,3313.63,3315.21,3314.74,3320.19,3314.74,3317.28,4.68889,0,3318.71,3318.84,,0.0,,MISS,0,0.0,0.45168119228419895
2025-09-19 10:35:59,DETECTED,XAUUSD,PERIOD_M15,ICT_OB2025.09.19 09:45:00,2025-09-19 09:45:00,False,BULLISH,0,19,3648.72,3644.73,3649.21,3648.72,False,False,False,3659.13,False,0.0,-1.0,False,False,False,0.0,0.0,0.0,0.0,0.0,False,-1.0,False,False,2,-1.0,-1.0,-1.0,-1.0,3647.96,3648.72,3644.73,3647.09,3647.17,3650.65,3644.5,3649.47,4.34833,0,3652.13,3652.17,,0.0,,MISS,0,0.0,0.4516790083742196
2025-02-05 15:34:59,DETECTED,XAUUSD,PERIOD_M15,ICT_OB2025.02.05 14:45:00,2025-02-05 14:45:00,True,BULLISH,0,19,2870.97,2867.04,2867.04,2869.21,False,False,False,2756.35,False,6.147981429109372e+197,-1.0,False,True,False,3.815160364263296e+255,7.407744685719464e+221,6.149440674976676e+197,0.0,2.4650755922963024e+24,False,-1.0,False,False,3,-1.0,-1.0,-1.0,-1.0,2867.51,2870.97,2867.04,2870.3,2870.33,2870.77,2868.41,2869.21,3.51222,0,2862.64,2862.72,,0.0,,MISS,0,0.0,0.4516699771217023
